objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_011,,DpCCHbWEDz4,,Maynila: Sa mga Kuko ng Liwanag,Lino Brocka,1975-07-16,"Julio Madiaga, a simple fisherman from the province, travels to Manila to find Ligaya, the woman he loves, after she went away with a mysterious woman promising a better future in the City. When he arrives, he becomes immersed in the city lifestyle and gets involved with its inhabitants experiencing extreme poverty, hard luck, and the overbearing need to grind for daily sustention. While Julio relentlessly searches for Ligaya, the city changes him little by little, becoming like an animal doomed to live only for survival in a wild jungle with no way out.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_012,,G0iamk1N6ic,,Tumbalik na Daigdig,Tony Arnaldo,1953-03-21,"A story about a young architect and his friend who goes to the province to build a church Upon their arrival they notice something peculiar, it seems that the place was primarily inhabited by women they soon learn that it was due to most men enlisted and perished in the war. Lacking the manpower to build the church he started to hire women as construction workers, he then meets this particular woman.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_013,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/kundiman%20ng%20puso.jpg?raw=true,,,Kundiman ng Puso,Tony Cayado,1958-01-04,"A musical-romance movie classic tracking dramatic domestic encounters, created under Sampaguita Pictures.",Musical Film,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_014,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/colegiala.jpg?raw=true,,,Colegiala,Eduardo de Castro,1940-10-29,"A rare pre-war studio drama exploring the social pressures faced by a young woman from a traditional rural family who moves to Manila to attend an elite convent girls' college (colegiala). She finds herself caught between her family's strict provincial expectations and the fast-paced, modern lifestyles of her wealthy urban classmates. The central conflict arises when she falls in love with an artistic young man from a lower social standing, causing her family to threaten to pull her out of school. Through perseverance and the support of her progressive teachers, she bridges the cultural divide, proving that modern education can coexist with traditional values.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_015,,McT_ePmod4c,,Virginia,Nemesio E. Caravana,1905-05-02,"Virginia (1949) is a melodrama with predictable themes and stereotyped characters seen in most movies from the big studios that were now slowly becoming film factories. People from Manila are rich and haughty while the people from the province are poor, simple, but live dignified lives. The story is set during the latter part of the Pacific war, when the Americans began their offensive to take back the country from the Japanese. The rich family of Doña Tentay (Naty Bernardo) and her son Reynaldo (Armando Goyena), together with his cousin Mameng (Rosa Rosal) evacuate Manila and move to the province to escape the incessant bombing. There they encounter the pretty provincial lass, Virginia (Tessie Quintana), a corn vendor and Reynaldo and Virginia fall in love. Virginia and her father (Florentino Ballecer) are also secretly hiding an American officer from the Japanese, a Mr. Powell. Mameng is also in love with Reynaldo and tries her best to belittle and humiliate Virginia. At the war’s end, they return to Manila and Reynaldo is forced by an unexpected turn of events to marry Mameng. But Mameng is a spoiled society girl who not only dissipates Reynaldo’s fortune but is also unfaithful. Reynaldo loses his money and is forced to work as a taxi driver. One day he meets an accident and loses his sight. In the meantime, Mr. Powell, the American officer returns to the province and leaves all his property to Virginia. The roles are now reversed. Virginia is rich while Reynaldo and Mameng are dirt poor. Virginia learns about Reynaldo’s miserable situation and secretly has him cured. He regains his sight and confronts Mameng and her lover (Jaime Castelvi). A fight ensues and Mameng’s lover is accidentally killed. Reynaldo takes the blame but at the trial, a thoroughly repentant Mameng confesses to her role in this tragedy and takes poison. Reynaldo returns to the province and is reunited with Virginia.",Film,Philippines,12.8797,-121.774,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_016,,yoUZgyEimL8,,Sumpaan,Susana C. de Guzman,1948-05-24,"Three brothers make a vow on their father’s deathbed to be devoted to one another. As they each grow up in their own ways, they struggle to retain their bond as adults.",Film,"Cordillera Region, Philippines",17.025,-121.15,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_017,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/orasang%20ginto.jpg?raw=true,,,Orasang Gintong,Manuel Conde,1946-03-04,"Historically significant as the first feature film produced in the Philippines immediately following the destruction of World War II. The plot details the harrowing struggles of a war-weary soldier who returns to the ruined streets of Manila to search for his displaced family. His only keepsake is a gold watch (orasang ginto) given to him by a dying comrade on the battlefield. As he navigates the city's black markets and lawless post-war slums, the watch is stolen by a desperate gang of orphans. His quest to retrieve the watch leads him to the children's hiding place, where he unexpectedly discovers his own younger sister leading them, shifting his mission from individual survival to collective healing.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_018,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/La%20vida%20de%20jose%20rizal.jpg?raw=true,,,La Vida de Jose Rizal,Edward M. Gross,1912-08-23,"Based on Edward Gross’ 1905 stage play. It begins with a view of the Philippines prior to Rizal’s birth and traces his career in Europe, his exile in Dapitan, his imprisonment in Fort Santiago and his martyrdom at Bagumbayan.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_019,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/Fusilamiento_de_rizal.jpg?raw=true,,,El Fusilamiento de Jose Rizal,Albert Yearsley,1912-08-23,"A film depicting the shooting of Dr. Jose Rizal, consisting of a single scene worth 500 feet of film.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_020,,sO27KELMvjU,,Tunay na Ina,Octavio Silos,1939-06-10,"Magdalena (Rosario Moreno) becomes pregnant because she was raped by Antonio (Exequiel Segovia). Before his death, her father (Precioso Palma) gives up the baby for adoption, thinking that no man can ever understand her past. Magdalena is engaged to Roberto (Rudy Concepcion), a decent, well-off young man. Haunted by her conscience, Magdalena writes Roberto a letter, admitting her past. Her aunt, afraid that the wedding may be called off, intercepts the letter and hides it. Assuming that Roberto has accepted her in spite of her past, she marries him. Magdalena later becomes increasingly aware that Roberto does not know the truth about her. She tries to locate her lost child. Eventually, she sees a child that she thinks is her missing daughter. The child, Tita (Tita Duran), recognizes Aling Andang (Naty Bernardo) as her mother. The story of how Tita came to Andang matches the story of how Magdalena's baby was given away. Magdalena is now sure that Tita is her child. Meanwhile, Antonio comes back and blackmails Magdalena. When Magdalena later refuses to give him more money, Antonio tells Roberto the truth. Roberto throws Magdalena out of the house. She goes to Andang and Tita to spend time with her daughter, not knowing that Junior, her son by Roberto is gravely ill. Junior dies. Magdalena is only redeemed in Roberto's eyes when the aunt produces Magdalena's letter. After Andang almost comes to death on Christmas Eve, Magdalena and Roberto decide to adopt both Tita and Aling Andang into their home.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_021,,MFe2hiiIqk,,Tulisan,Jose De Villa,1905-05-15,"This film is about the warring women bandits. Roberta leads a group that will rescue her kidnapped twin-sister, Senyang, from Fernanda’s group.",Film,Philippines,12.8797,-121.774,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_022,,ezgvxSWdKwg,,Kerubin,Octavio Silos,1952-04-30,"St. Peter is exasperated with the antics of Kerubin, a mischievous little angel. So he sends Kerubin to Earth with the proviso that she cannot return to heaven until she makes one sad soul happy. Kerubin settles on Anastacis, a young housewife who wants to have a child but cannot and whose husband is beginning to have a wandering eye.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_023,,cQkUWJF9vWw,,Anak ng Espada,Tony Cayado,1954-06-09,"A 1954 Philippine action-fantasy film. Directed by Tony Cayado and written by Fernando B. Monleon, this swashbuckling epic features a young cast of notable stars, including Tessie Agana, Norma Vales, and Rita Gomez. Amidst mystical swordplay and classic Filipino folklore.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_024,,IdFTp2zay2w,,Octavia ,Rose Mia,1961,A generation feud between three stars.,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_025,,Yzlx9S1uG7Q,,Anino ni Bathala,Conrado Conde,1958-04-19,Earthly love or the love of god? which must one choose in order to live in his shadow?,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_026,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/Sa%20Pusod%20Ng%20Dagat_DVD%20cover.JPG?raw=true,,,Sa Pusod ng Dagat,Marilou Diaz-Abaya,1998-06-24,"On an island in the 1950s, young Pepito assists his mother as she goes around practicing her trade as the only local midwife left in the village.  He gets involved in the lives and passions of other inhabitants whose beliefs, struggles and aspirations lead him to an understanding of himself and the role he must play in the life of his fellow villagers.  In a story inflected with flashes of magic realism, the remote island becomes a mirror of the wider world.",Film,"Anilao, Mabini, Batangas",13.756,-120.912,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_027,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/kisapmata.png?raw=true,,,Kisapmata,Mike de Leon,1905-06-03,"Kisapmata (In the Wink of an Eye) is a 1981 Filipino psychological horror film directed by Mike de Leon, with a screenplay by de Leon, Clodualdo del Mundo Jr., and Raquel Villavicencio, based on National Artist for Literature Nick Joaquin's essay The House on Zapote St. (as Quijano de Manila). It stars Vic Silayan, Charo Santos, Jay Ilagan, and Charito Solis. It tells the story of a controlling patriarch who loses it over his daughter's marriage and her attempts to escape from their incestuous household.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_028,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/tinimbang%20ka%20ngunit%20kulang.jpg?raw=true,,,Tinimbang Ka Ngunit Kulang,Lino Brocka,1974-05-30,A privileged teenager (Christopher De Leon) disillusioned with the hypocrisy he witnesses in his small town forms a bond with a lonely leper and a mentally unstable homeless woman.,Film,"Santa Rita, Pampanga",14.999,-120.615,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_029,,Q3WmMu7TyFg,,Bayan Ko: Kapit sa Patalim,Lino Brocka,1905-06-07,"In Manila, a printing press employee without social security is forced to participate in a frame-up to pay for his wife's hospitalisation costs following childbirth.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
